,zillow_id,address,zipcode,latitude,longitude,sqft,lot,bed,bath,home_type,year_built,last_sold_date,last_sold_price,dist_to_public_trans
30,241576495.0,"7236 MOUNT VEEDER RD, DUBLIN, CA",94568.0,37.736601799999995,-121.8772618,,3790.0,5.0,5.0,SingleFamily,2018.0,02/24/2018,1195000.0,2.605299456507677
31,241576514.0,"4301 WALLIS RANCH DR, DUBLIN, CA",94568.0,37.7361816,-121.87632690000001,,5286.0,0.0,4.0,SingleFamily,2017.0,09/28/2017,1150000.0,2.604191720582904
32,241576513.0,"4313 WALLIS RANCH DR, DUBLIN, CA",94568.0,37.7361991,-121.87646170000001,3016.0,3118.0,0.0,4.0,SingleFamily,2017.0,09/25/2017,1099000.0,2.6016680238772207
33,241576455.0,"7352 KENWOOD RD, DUBLIN, CA",94568.0,37.737426899999996,-121.87502099999999,,3669.0,0.0,,SingleFamily,,,,2.7140916579984524
34,241576456.0,"7354 KENWOOD RD, DUBLIN, CA",94568.0,37.7375103,-121.87494509999999,3016.0,2975.0,4.0,5.0,SingleFamily,2018.0,,,2.7211451802009967
35,241576457.0,"7360 KENWOOD RD, DUBLIN, CA",94568.0,37.7375911,-121.8748842,,2975.0,0.0,,SingleFamily,,,,2.7276378444677536
36,241576458.0,"7372 KENWOOD RD, DUBLIN, CA",94568.0,37.7376625,-121.87481340000001,,2975.0,0.0,,SingleFamily,,,,2.733833929147308
37,241576459.0,"7378 KENWOOD RD, DUBLIN, CA",94568.0,37.7377492,-121.874743,,2975.0,0.0,,SingleFamily,,,,2.7409372908027883
38,241576460.0,"7384 KENWOOD RD, DUBLIN, CA",94568.0,37.7378321,-121.87466770000002,,2975.0,0.0,,SingleFamily,,,,2.747945247795532
39,241576461.0,"7390 KENWOOD RD, DUBLIN, CA",94568.0,37.737913,-121.87459469999999,,2975.0,0.0,,SingleFamily,,,,2.7547712637546304
40,241576462.0,"7396 KENWOOD RD, DUBLIN, CA",94568.0,37.737995899999994,-121.874517,3359.0,3497.0,4.0,5.0,SingleFamily,2018.0,,,2.7618445816638584
41,241573654.0,"7059 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7351551,-121.8752298,,4856.0,0.0,,SingleFamily,,,,2.5729906149099686
42,241573532.0,"7067 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7352622,-121.8753711,3445.0,4349.0,4.0,4.0,Condominium,2016.0,03/30/2018,1509000.0,2.5753547235964467
43,241573376.0,"7075 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7353559,-121.87551459999999,2944.0,4349.0,4.0,3.0,SingleFamily,2018.0,,,2.576903985903858
44,241573440.0,"7083 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7354416,-121.8756867,3463.0,4856.0,4.0,4.0,Condominium,2016.0,03/30/2018,1550000.0,2.5772253921300283
45,241573891.0,"7091 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.735516,-121.87585619999999,,4349.0,0.0,,SingleFamily,,,,2.576991705093
46,241573892.0,"7099 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7355807,-121.87603270000001,3445.0,4349.0,4.0,4.0,Condominium,2016.0,12/21/2016,1319000.0,2.5760306286474743
47,241573723.0,"7107 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7356359,-121.87620420000002,3463.0,4856.0,5.0,4.0,SingleFamily,2016.0,10/05/2016,1435000.0,2.5746789090886946
48,241573243.0,"7115 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7356888,-121.8764118,2944.0,4856.0,4.0,3.0,Condominium,2016.0,09/29/2016,1280000.0,2.5722583849352096
49,241573244.0,"7120 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7353583,-121.8766188,3949.0,5378.0,0.0,4.0,SingleFamily,2017.0,,,2.5468338221183746
50,241573245.0,"7128 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.735368,-121.8768111,3706.0,4853.0,0.0,3.5,Condominium,2017.0,02/17/2017,1285000.0,2.542266793359577
51,241573889.0,"7136 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.735392,-121.8769947,,5700.0,0.0,,Condominium,,03/03/2017,1340000.0,2.5388291015215434
52,241573890.0,"7152 ATLAS PEAK DR, DUBLIN, CA",94568.0,37.7354161,-121.87717830000001,,5100.0,0.0,,Condominium,,03/30/2017,1325000.0,2.535433782580736
